time,coverage,path_length_m
0.0,0.4793,0.0
5.0,0.4793,0.0
10.0,0.4805,0.0
15.01,0.5011,0.065
20.0,0.5112,0.065
25.0,0.5113,0.065
30.01,0.5113,0.065
35.0,0.5113,0.065
40.0,0.5113,0.065
45.01,0.5113,0.065
50.0,0.5113,0.065
55.0,0.512,0.065
60.01,0.5156,0.065
65.01,0.5189,0.125
70.01,0.5069,0.391
75.01,0.5074,0.692
80.01,0.5131,0.978
85.01,0.519,1.275
90.01,0.5254,1.602
95.01,0.5409,1.917
100.01,0.5543,2.224
105.01,0.5695,2.554
110.01,0.5839,2.889
115.02,0.5993,3.188
120.01,0.6202,3.436
125.01,0.6313,3.465
130.01,0.6376,3.465
135.01,0.6402,3.465
140.01,0.643,3.465
145.01,0.6439,3.465
150.01,0.6439,3.465
155.02,0.6447,3.465
160.01,0.6435,3.465
165.02,0.6414,3.465
170.01,0.6415,3.644
175.01,0.6433,4.106
180.02,0.6512,4.46
185.02,0.6591,4.818
190.02,0.6666,4.821
195.02,0.6677,4.821
200.02,0.6677,4.821
205.02,0.6677,4.821
210.02,0.6677,4.821
215.02,0.6677,4.821
220.02,0.6677,4.821
225.02,0.6677,4.821
230.02,0.6677,4.821
235.03,0.6677,4.821
240.02,0.6677,4.821
245.03,0.6677,4.821
250.03,0.6677,4.821
255.03,0.6677,4.821
260.02,0.6677,4.821
265.03,0.6677,4.821
270.02,0.6677,4.821
275.03,0.6677,4.821
280.03,0.6677,4.821
285.03,0.6677,4.821
290.03,0.6677,4.821
295.04,0.6677,4.821
300.04,0.6677,4.821
305.03,0.6677,4.821
310.03,0.6677,4.821
