time,x,y
135.66,-3.351,-3.66
136.16,-3.48,-3.649
136.66,-3.609,-3.636
137.16,-3.739,-3.624
137.66,-3.868,-3.606
138.16,-3.992,-3.58
138.66,-4.122,-3.55
139.16,-4.238,-3.519
139.66,-4.268,-3.511
140.16,-4.248,-3.513
140.66,-4.247,-3.514
141.16,-4.248,-3.513
141.66,-4.248,-3.513
142.16,-4.249,-3.504
142.66,-4.25,-3.504
143.16,-4.251,-3.504
143.66,-4.251,-3.505
144.16,-4.241,-3.505
144.66,-4.25,-3.503
145.16,-4.25,-3.504
145.66,-4.25,-3.504
146.16,-4.25,-3.504
146.66,-4.26,-3.504
147.16,-4.26,-3.504
147.66,-4.26,-3.504
148.16,-4.26,-3.504
148.66,-4.26,-3.504
149.16,-4.26,-3.504
149.66,-4.26,-3.504
150.16,-4.26,-3.514
150.66,-4.26,-3.514
151.16,-4.26,-3.514
151.66,-4.26,-3.514
152.16,-4.26,-3.514
152.66,-4.26,-3.514
153.16,-4.26,-3.514
153.66,-4.26,-3.513
154.16,-4.26,-3.514
154.66,-4.25,-3.513
155.16,-4.25,-3.513
155.66,-4.25,-3.514
156.16,-4.25,-3.514
156.66,-4.25,-3.514
157.16,-4.25,-3.514
157.66,-4.25,-3.514
158.16,-4.25,-3.504
158.66,-4.25,-3.504
159.16,-4.25,-3.504
159.66,-4.25,-3.504
160.16,-4.25,-3.504
160.66,-4.25,-3.504
161.16,-4.25,-3.504
161.66,-4.221,-3.515
162.16,-4.077,-3.555
162.66,-3.948,-3.572
166.08,-3.819,-3.581
166.16,-3.782,-3.582
166.66,-3.684,-3.585
167.16,-3.554,-3.587
167.66,-3.426,-3.588
168.16,-3.294,-3.591
168.66,-3.166,-3.594
169.16,-3.036,-3.597
169.66,-2.904,-3.6
170.16,-2.769,-3.602
170.66,-2.646,-3.604
171.16,-2.511,-3.605
171.66,-2.384,-3.606
172.16,-2.256,-3.607
172.66,-2.144,-3.608
173.16,-2.009,-3.61
173.66,-1.879,-3.612
174.16,-1.768,-3.612
174.66,-1.661,-3.613
175.16,-1.531,-3.615
175.66,-1.365,-3.616
176.16,-1.245,-3.618
176.66,-1.141,-3.621
177.16,-0.975,-3.624
177.66,-0.881,-3.627
178.16,-0.741,-3.63
178.66,-0.611,-3.634
179.16,-0.479,-3.628
179.66,-0.349,-3.629
180.16,-0.219,-3.63
180.66,-0.07,-3.628
181.16,0.054,-3.624
181.66,0.177,-3.619
182.16,0.299,-3.606
182.66,0.427,-3.587
183.16,0.559,-3.57
183.66,0.685,-3.555
184.16,0.817,-3.539
184.66,0.946,-3.525
185.16,1.078,-3.511
185.66,1.205,-3.501
186.16,1.335,-3.494
186.66,1.439,-3.49
187.16,1.592,-3.486
187.66,1.699,-3.488
188.16,1.842,-3.484
188.66,1.959,-3.477
189.16,2.088,-3.469
189.66,2.218,-3.459
190.16,2.355,-3.447
190.66,2.482,-3.437
191.16,2.608,-3.423
191.66,2.732,-3.41
192.16,2.861,-3.394
192.66,2.985,-3.376
193.16,3.113,-3.355
193.66,3.234,-3.336
194.16,3.332,-3.324
194.66,3.492,-3.309
195.16,3.588,-3.302
195.66,3.714,-3.296
196.16,3.84,-3.295
196.66,3.971,-3.301
197.16,4.098,-3.312
197.66,4.168,-3.323
198.16,4.296,-3.359
201.26,4.325,-3.372
201.66,4.332,-3.375
202.16,4.32,-3.367
202.66,4.319,-3.367
203.16,4.32,-3.378
203.66,4.321,-3.378
204.16,4.311,-3.379
204.66,4.312,-3.38
205.16,4.312,-3.38
205.66,4.312,-3.38
206.16,4.312,-3.381
206.66,4.312,-3.382
207.16,4.312,-3.383
207.66,4.312,-3.373
208.16,4.312,-3.373
208.66,4.313,-3.373
209.16,4.312,-3.373
209.66,4.312,-3.373
210.16,4.312,-3.373
210.66,4.312,-3.373
211.16,4.312,-3.373
211.66,4.312,-3.363
212.16,4.312,-3.363
212.66,4.312,-3.363
213.16,4.312,-3.363
213.66,4.302,-3.363
214.16,4.302,-3.362
214.66,4.302,-3.363
215.16,4.302,-3.363
215.66,4.302,-3.372
216.16,4.302,-3.373
216.66,4.302,-3.373
217.16,4.302,-3.373
217.66,4.302,-3.373
218.16,4.302,-3.373
218.66,4.302,-3.373
219.16,4.302,-3.383
219.66,4.302,-3.372
220.16,4.302,-3.383
220.66,4.302,-3.383
221.16,4.312,-3.383
221.66,4.312,-3.383
222.16,4.312,-3.383
222.66,4.312,-3.383
223.16,4.312,-3.383
223.66,4.311,-3.382
224.16,4.27,-3.376
224.66,4.148,-3.356
225.16,4.077,-3.332
225.66,3.958,-3.28
226.16,3.839,-3.228
226.66,3.728,-3.17
227.16,3.629,-3.119
227.66,3.498,-3.05
228.16,3.383,-2.989
228.66,3.268,-2.933
229.16,3.159,-2.871
229.66,3.061,-2.813
230.16,2.936,-2.779
230.66,2.812,-2.75
231.16,2.691,-2.715
231.66,2.56,-2.677
232.16,2.433,-2.641
232.66,2.309,-2.61
233.16,2.183,-2.58
236.44,2.106,-2.563
236.66,2.03,-2.548
237.16,1.904,-2.532
237.66,1.775,-2.516
238.16,1.651,-2.501
238.66,1.54,-2.487
239.16,1.393,-2.466
239.66,1.266,-2.439
240.16,1.159,-2.406
240.66,1.026,-2.36
241.16,0.933,-2.323
241.66,0.835,-2.24
242.16,0.805,-2.211
242.66,0.814,-2.222
243.16,0.814,-2.222
243.66,0.814,-2.222
244.16,0.814,-2.222
244.66,0.814,-2.222
245.16,0.814,-2.222
245.66,0.814,-2.222
246.16,0.784,-2.177
246.66,0.736,-2.107
247.16,0.707,-2.019
247.66,0.706,-2.039
248.16,0.706,-2.039
248.66,0.706,-2.039
249.16,0.706,-2.039
249.66,0.706,-2.039
250.16,0.706,-2.039
250.66,0.706,-2.039
251.16,0.696,-2.008
251.66,0.682,-1.897
252.16,0.7,-1.757
252.66,0.73,-1.629
253.16,0.764,-1.547
253.66,0.825,-1.432
254.16,0.896,-1.32
254.66,0.968,-1.215
255.16,1.044,-1.104
255.66,1.117,-0.999
256.16,1.195,-0.889
256.66,1.269,-0.786
257.16,1.345,-0.68
257.66,1.42,-0.574
258.16,1.497,-0.466
258.66,1.57,-0.365
259.16,1.649,-0.255
259.66,1.724,-0.155
260.16,1.801,-0.048
260.66,1.876,0.055
261.16,1.95,0.161
261.66,2.027,0.266
262.16,2.101,0.366
262.66,2.179,0.47
263.16,2.257,0.57
263.66,2.324,0.667
264.16,2.412,0.786
264.66,2.465,0.853
265.16,2.556,0.981
265.66,2.618,1.055
266.16,2.709,1.18
266.66,2.794,1.293
267.16,2.857,1.376
267.66,2.937,1.478
268.16,3.03,1.597
268.66,3.1,1.684
271.64,3.1,1.684
271.66,3.1,1.684
272.16,3.18,1.783
272.66,3.264,1.883
273.16,3.35,1.98
273.66,3.437,2.073
274.16,3.529,2.168
274.66,3.623,2.258
275.16,3.746,2.353
275.66,3.859,2.417
276.16,3.979,2.475
276.66,4.072,2.514
277.16,4.19,2.562
277.66,4.315,2.608
278.16,4.465,2.659
278.66,4.56,2.687
279.16,4.706,2.734
279.66,4.81,2.768
280.16,4.95,2.814
280.66,5.057,2.849
281.16,5.166,2.885
281.66,5.168,2.893
282.16,5.156,2.885
282.66,5.152,2.874
283.16,5.153,2.875
283.66,5.154,2.875
284.16,5.154,2.875
284.66,5.154,2.875
285.16,5.154,2.875
285.66,5.154,2.875
286.16,5.154,2.875
286.66,5.154,2.874
287.16,5.159,2.875
287.66,5.159,2.871
288.16,5.159,2.871
288.66,5.159,2.871
289.16,5.166,2.872
289.66,5.169,2.873
290.16,5.163,2.873
290.66,5.163,2.878
291.16,5.169,2.878
291.66,5.169,2.878
292.16,5.169,2.878
292.66,5.165,2.884
293.16,5.165,2.884
293.66,5.165,2.884
294.16,5.165,2.884
294.66,5.165,2.884
295.16,5.165,2.884
295.66,5.165,2.884
296.16,5.155,2.884
296.66,5.155,2.884
297.16,5.155,2.884
297.66,5.155,2.884
298.16,5.155,2.884
298.66,5.155,2.884
299.16,5.155,2.884
299.66,5.155,2.884
300.16,5.149,2.874
300.66,5.149,2.874
301.16,5.154,2.874
301.66,5.154,2.874
302.16,5.154,2.874
302.66,5.154,2.875
303.16,5.091,2.899
303.66,4.941,2.958
306.8,4.871,2.987
307.16,4.821,3.009
307.66,4.697,3.053
308.16,4.581,3.106
308.66,4.461,3.147
309.16,4.336,3.185
309.66,4.209,3.218
310.16,4.088,3.258
310.66,3.958,3.297
311.16,3.836,3.342
311.66,3.716,3.382
312.16,3.588,3.427
312.66,3.443,3.478
313.16,3.347,3.512
313.66,3.203,3.557
314.16,3.101,3.588
314.66,2.979,3.626
315.16,2.85,3.66
315.66,2.729,3.696
