time,coverage,path_length_m
0.0,0.4793,0.0
5.0,0.4793,0.0
10.01,0.4793,0.0
15.02,0.4793,0.0
20.01,0.4793,0.099
25.02,0.4809,0.243
30.02,0.4899,0.307
35.01,0.4894,0.364
40.01,0.5005,0.393
45.01,0.5022,0.528
50.01,0.5078,0.637
55.0,0.5101,0.79
60.02,0.5111,0.871
65.01,0.5114,1.012
70.01,0.5124,1.107
75.01,0.5126,1.255
80.02,0.5134,1.351
85.01,0.5122,1.434
90.01,0.5124,1.573
95.01,0.5129,1.681
100.01,0.5118,1.843
105.01,0.5121,1.956
110.01,0.5124,1.956
115.01,0.5126,1.978
120.01,0.5133,2.143
125.02,0.5142,2.362
130.0,0.5148,2.412
135.01,0.517,2.561
140.01,0.5184,2.811
145.01,0.5201,3.136
150.01,0.5246,3.449
155.01,0.5266,3.737
160.01,0.5278,3.969
165.01,0.5295,4.242
170.01,0.5337,4.517
175.01,0.5372,4.782
180.02,0.5213,5.063
185.04,0.5443,5.276
190.01,0.5629,5.536
195.02,0.6024,5.822
200.01,0.6411,6.119
205.03,0.6762,6.368
210.01,0.6899,6.623
0.0,0.4793,0.0
5.0,0.4793,0.0
10.0,0.4793,0.0
15.0,0.478,0.105
20.0,0.5025,0.129
25.0,0.5036,0.129
30.0,0.5043,0.129
35.03,0.5043,0.129
40.01,0.5043,0.129
45.0,0.5064,0.129
50.01,0.5106,0.129
55.01,0.5106,0.129
60.01,0.5106,0.132
65.01,0.5129,0.327
70.01,0.5112,0.514
75.01,0.5142,0.682
80.01,0.5146,0.82
85.01,0.5149,0.992
90.01,0.5157,1.13
95.01,0.5159,1.317
100.01,0.5163,1.495
105.02,0.5163,1.641
110.01,0.5169,1.658
115.01,0.5177,1.815
120.01,0.5182,1.951
125.01,0.5183,2.145
130.02,0.519,2.358
135.01,0.5213,2.664
140.03,0.5251,2.943
145.02,0.5303,3.247
150.01,0.5225,3.691
155.02,0.5262,4.141
160.02,0.5421,4.588
165.03,0.5746,5.025
170.04,0.6049,5.387
175.03,0.6635,5.73
180.02,0.6869,6.091
185.02,0.7085,6.468
190.03,0.7231,6.892
195.04,0.7298,7.246
200.03,0.7374,7.372
205.04,0.7402,7.39
210.02,0.7419,7.39
215.03,0.7419,7.39
220.03,0.7425,7.39
225.03,0.7426,7.39
230.03,0.7429,7.39
235.03,0.7431,7.39
240.03,0.7433,7.7
245.02,0.7437,8.178
250.02,0.7432,8.701
255.03,0.7439,9.164
260.03,0.7457,9.663
265.02,0.7475,10.191
