time,coverage,path_length_m
190.02,0.4989,1.375
190.02,0.4989,1.375
190.19,0.5061,1.38
190.19,0.5061,1.38
195.02,0.5005,1.611
195.02,0.5005,1.614
195.2,0.5056,1.619
195.2,0.5056,1.619
200.02,0.5127,1.84
200.02,0.5127,1.84
200.19,0.5126,1.845
200.2,0.5126,1.845
205.02,0.521,2.071
205.02,0.521,2.071
205.2,0.5305,2.079
205.2,0.5305,2.079
210.02,0.5385,2.316
210.02,0.5385,2.316
210.2,0.5411,2.324
210.2,0.5411,2.324
215.02,0.5664,2.558
215.02,0.5664,2.558
215.2,0.566,2.565
215.2,0.566,2.565
220.02,0.5938,2.789
220.02,0.5938,2.789
220.2,0.5931,2.797
220.21,0.5931,2.797
225.03,0.606,2.994
225.03,0.606,2.994
225.21,0.6048,3.002
225.21,0.6048,3.002
230.02,0.6434,3.247
230.02,0.6434,3.247
230.2,0.6392,3.254
230.2,0.6392,3.254
235.03,0.6646,3.454
235.03,0.6646,3.454
235.2,0.6769,3.461
235.2,0.6769,3.461
240.02,0.678,3.674
240.02,0.678,3.674
240.2,0.6801,3.68
240.2,0.6801,3.68
245.03,0.6795,3.821
245.03,0.6795,3.821
245.2,0.6819,3.823
245.2,0.6819,3.823
250.03,0.6798,3.838
250.03,0.6798,3.838
250.2,0.6823,3.838
250.21,0.6823,3.838
255.03,0.6803,3.847
255.03,0.6803,3.847
255.2,0.6826,3.848
255.2,0.6826,3.848
260.04,0.6806,3.998
260.04,0.6806,3.998
260.22,0.6826,4.004
260.22,0.6826,4.004
265.03,0.6811,4.215
265.03,0.6811,4.215
265.2,0.6844,4.223
265.2,0.6844,4.223
270.03,0.6894,4.545
270.03,0.6894,4.545
270.21,0.687,4.558
270.21,0.687,4.558
275.02,0.6967,4.855
275.03,0.6967,4.855
275.21,0.6945,4.868
275.21,0.6945,4.868
280.03,0.7115,5.161
280.03,0.7115,5.161
280.22,0.7153,5.174
280.22,0.7153,5.174
285.03,0.7384,5.463
285.03,0.7384,5.463
285.21,0.7343,5.473
285.21,0.7343,5.473
290.03,0.7513,5.718
290.03,0.7513,5.718
290.2,0.7499,5.733
290.2,0.7499,5.733
