time,coverage,path_length_m
0.0,0.4793,0.0
0.17,0.4793,0.0
5.0,0.4793,0.0
5.18,0.4793,0.0
10.01,0.4816,0.0
10.18,0.478,0.0
15.0,0.491,0.028
15.18,0.4909,0.032
20.0,0.5059,0.058
20.18,0.5003,0.058
25.0,0.509,0.058
25.0,0.509,0.058
25.18,0.5094,0.058
25.18,0.5094,0.058
30.0,0.51,0.058
30.0,0.51,0.058
30.18,0.5094,0.058
30.18,0.5094,0.058
35.01,0.51,0.058
35.01,0.51,0.058
35.19,0.5094,0.058
35.2,0.5094,0.058
40.01,0.51,0.058
40.01,0.51,0.058
40.18,0.5094,0.058
40.18,0.5094,0.058
45.01,0.51,0.058
45.01,0.51,0.058
45.18,0.5094,0.058
45.18,0.5094,0.058
50.0,0.51,0.058
50.01,0.51,0.058
50.18,0.5094,0.058
50.18,0.5094,0.058
55.01,0.51,0.058
55.01,0.51,0.058
55.19,0.5094,0.058
55.19,0.5094,0.058
60.01,0.51,0.058
60.01,0.51,0.058
60.18,0.5094,0.058
60.18,0.5094,0.058
65.01,0.51,0.058
65.01,0.51,0.058
65.18,0.5094,0.058
65.18,0.5094,0.058
70.01,0.51,0.058
70.01,0.51,0.058
70.19,0.5095,0.058
70.19,0.5095,0.058
75.01,0.5109,0.16
75.01,0.5109,0.16
75.18,0.5133,0.164
75.18,0.5133,0.164
80.01,0.5114,0.189
80.01,0.5114,0.189
80.18,0.5148,0.189
80.18,0.5148,0.189
85.01,0.5178,0.189
85.01,0.5178,0.189
85.19,0.5156,0.189
85.19,0.5156,0.189
90.01,0.5178,0.189
90.01,0.5178,0.189
90.18,0.5156,0.189
90.19,0.5156,0.189
95.01,0.5178,0.189
95.01,0.5178,0.189
95.18,0.5156,0.189
95.19,0.5156,0.189
100.01,0.5178,0.189
100.01,0.5178,0.189
100.19,0.5156,0.189
100.19,0.5156,0.189
105.01,0.5178,0.189
105.01,0.5178,0.189
105.18,0.5156,0.189
105.18,0.5156,0.189
110.02,0.5178,0.189
110.02,0.5178,0.189
110.19,0.5156,0.189
110.19,0.5156,0.189
115.01,0.5178,0.189
115.01,0.5178,0.189
115.18,0.5156,0.189
115.18,0.5156,0.189
120.04,0.5183,0.189
120.04,0.5183,0.189
120.21,0.5156,0.189
120.21,0.5156,0.189
125.02,0.5184,0.189
125.02,0.5184,0.189
125.19,0.5156,0.189
125.19,0.5156,0.189
130.01,0.5184,0.189
130.01,0.5184,0.189
130.18,0.5156,0.189
130.19,0.5156,0.189
135.01,0.5191,0.189
135.01,0.5191,0.189
135.19,0.5157,0.189
135.2,0.5157,0.189
140.02,0.5191,0.189
140.02,0.5191,0.189
140.2,0.517,0.189
140.2,0.517,0.189
145.03,0.5194,0.263
145.04,0.5194,0.263
145.21,0.517,0.267
145.21,0.517,0.267
150.02,0.5151,0.377
150.02,0.5151,0.377
150.19,0.5173,0.381
150.19,0.5173,0.381
155.01,0.5156,0.47
155.02,0.5156,0.47
155.19,0.5143,0.473
155.19,0.5143,0.473
160.02,0.5129,0.613
160.02,0.5129,0.613
160.2,0.5146,0.615
160.2,0.5146,0.615
165.02,0.5133,0.718
165.02,0.5133,0.718
165.2,0.5144,0.719
165.2,0.5144,0.719
170.03,0.5149,0.817
170.03,0.5149,0.817
170.21,0.5149,0.821
170.21,0.5149,0.821
175.02,0.5152,0.893
175.02,0.5152,0.893
175.19,0.5151,0.897
175.2,0.5151,0.897
180.03,0.5154,0.98
180.03,0.5154,0.98
180.2,0.5157,0.982
180.2,0.5157,0.982
185.02,0.516,1.134
185.02,0.516,1.134
185.2,0.516,1.142
185.2,0.516,1.142
