time,coverage,path_length_m
0.0,0.4793,0.0
5.0,0.4793,0.0
10.0,0.4793,0.0
15.0,0.4793,0.073
20.0,0.4837,0.222
25.0,0.5038,0.395
30.0,0.5069,0.582
35.0,0.5086,0.776
40.01,0.5103,0.929
45.01,0.5118,1.096
50.01,0.513,1.272
55.0,0.5144,1.442
60.01,0.5155,1.442
65.01,0.516,1.606
70.01,0.5158,1.809
75.01,0.5153,1.959
80.01,0.5155,2.155
85.01,0.5159,2.373
90.01,0.519,2.722
95.01,0.5232,3.078
100.01,0.5291,3.421
105.01,0.5198,3.723
110.01,0.5227,4.071
115.01,0.5364,4.419
120.01,0.5459,4.773
125.01,0.5828,5.116
130.02,0.6141,5.436
135.01,0.6554,5.74
140.02,0.6801,6.081
145.01,0.7026,6.421
150.01,0.7145,6.793
155.02,0.7297,7.249
160.02,0.7342,7.36
165.02,0.7361,7.36
170.02,0.7372,7.36
175.02,0.7378,7.36
180.02,0.7387,7.36
185.02,0.7388,7.361
190.02,0.7373,7.83
195.02,0.7377,8.324
200.02,0.7382,8.831
205.02,0.7394,9.338
210.03,0.742,9.783
215.02,0.7446,10.248
220.02,0.7478,10.753
225.02,0.7502,11.247
230.02,0.7525,11.754
235.03,0.7553,12.245
240.04,0.7599,12.64
245.02,0.7705,13.106
250.03,0.7787,13.582
255.03,0.8229,13.599
260.04,0.8257,13.667
265.03,0.8572,13.806
